id,category,title,authors,year,venue,doi,url,source_kind,cited_by_count,relevance_score,query,relevance,openalex_id,abstract
SRC-0011,official_dataset_or_repo,P2Rank official repository,Jendele et al. / contributors,2019,GitHub,,https://github.com/rdk/p2rank,official_repo,,,manual_seed,strong ligand-binding site baseline,,
SRC-0012,official_dataset_or_repo,AutoDock Vina official repository,"Trott, Olson, Eberhardt, Forli, contributors",2010,GitHub,,https://github.com/ccsb-scripps/AutoDock-Vina,official_repo,,,manual_seed,docking baseline/tool,,
SRC-0013,official_dataset_or_repo,fpocket official repository,Discngine / fpocket contributors,2009,GitHub,,https://github.com/Discngine/fpocket,official_repo,,,manual_seed,classic geometry-based pocket baseline,,
SRC-0014,pcna_targeting,"p53, the Cellular Gatekeeper for Growth and Division",Arnold J. Levine,1997,Cell,10.1016/s0092-8674(00)81871-1,https://doi.org/10.1016/s0092-8674(00)81871-1,review,7704,297.2856,targeting proliferating cell nuclear antigen cancer small molecule inhibitor,scholarly source returned for targeted project query,https://openalex.org/W1991494214,
SRC-0015,cryptic_datasets; cryptic_pocket_prediction; official_dataset_or_repo; pocketminer,Predicting locations of cryptic pockets from single protein structures using the PocketMiner graph neural network,Artur Meller; Michael D. Ward; Jonathan Borowsky; Meghana Kshirsagar; Jeffrey M. Lotthammer; Felipe Oviedo; Juan Lavista Ferres; Gregory R. Bowman,2023,Nature Communications,10.1038/s41467-023-36699-3,https://doi.org/10.1038/s41467-023-36699-3,article,170,1238.3003,PocketMiner cryptic pocket graph neural network | Predicting locations of cryptic pockets from single protein structures using PocketMiner | cryptic site dataset CryptoSite protein cryptic pockets | manual_seed,scholarly source returned for targeted project query,https://openalex.org/W4322732093,"Cryptic pockets expand the scope of drug discovery by enabling targeting of proteins currently considered undruggable because they lack pockets in their ground state structures. However, identifying cryptic pockets is labor-intensive and slow. The ability to accurately and rapidly predict if and where cryptic pockets are likely to form from a structure would greatly accelerate the search for druggable pockets. Here, we present PocketMiner, a graph neural network trained to predict where pockets are likely to open in molecular dynamics simulations. Applying PocketMiner to single structures from a newly curated dataset of 39 experimentally confirmed cryptic pockets demonstrates that it accurately identifies cryptic pockets (ROC-AUC: 0.87) >1,000-fold faster than existing methods. We apply PocketMiner across the human proteome and show that predicted pockets open in simulations, suggesting that over half of proteins thought to lack pockets based on available structures likely contain cryptic pockets, vastly expanding the potentially druggable proteome."
SRC-0016,provenance,"Reproducible, interactive, scalable and extensible microbiome data science using QIIME 2",Evan Bolyen; Jai Ram Rideout; Matthew R. Dillon; Nicholas A. Bokulich; Christian C. Abnet; Gabriel A. Al‐Ghalith; Harriet Alexander; Eric J. Alm,2019,Nature Biotechnology,10.1038/s41587-019-0209-9,https://doi.org/10.1038/s41587-019-0209-9,letter,23591,254.4141,provenance tracking computational biology workflows reproducibility,scholarly source returned for targeted project query,https://openalex.org/W2963276645,
SRC-0017,provenance,The FAIR Guiding Principles for scientific data management and stewardship,Mark D. Wilkinson; Michel Dumontier; IJsbrand Jan Aalbersberg; Gabrielle Appleton; Myles Axton; Arie Baak; Niklas Blomberg; Jan‐Willem Boiten,2016,Scientific Data,10.1038/sdata.2016.18,https://doi.org/10.1038/sdata.2016.18,article,17434,199.0999,provenance tracking computational biology workflows reproducibility,scholarly source returned for targeted project query,https://openalex.org/W2302501749,"There is an urgent need to improve the infrastructure supporting the reuse of scholarly data. A diverse set of stakeholders-representing academia, industry, funding agencies, and scholarly publishers-have come together to design and jointly endorse a concise and measureable set of principles that we refer to as the FAIR Data Principles. The intent is that these may act as a guideline for those wishing to enhance the reusability of their data holdings. Distinct from peer initiatives that focus on the human scholar, the FAIR Principles put specific emphasis on enhancing the ability of machines to automatically find and use the data, in addition to supporting its reuse by individuals. This Comment is the first formal publication of the FAIR Principles, and includes the rationale behind them, and some exemplar implementations in the community."
SRC-0018,bootstrap_ci,pROC: an open-source package for R and S+ to analyze and compare ROC curves,Xavier Robin; Natacha Turck; Alexandre Hainard; Natalia Tiberti; Frédérique Lisacek; Jean-Charles Sanchez; Markus Müller,2011,BMC Bioinformatics,10.1186/1471-2105-12-77,https://doi.org/10.1186/1471-2105-12-77,article,13861,179.13478,bootstrap confidence intervals machine learning evaluation bioinformatics,scholarly source returned for targeted project query,https://openalex.org/W2006617902,"BACKGROUND: Receiver operating characteristic (ROC) curves are useful tools to evaluate classifiers in biomedical and bioinformatics applications. However, conclusions are often reached through inconsistent use or insufficient statistical analysis. To support researchers in their ROC curves analysis we developed pROC, a package for R and S+ that contains a set of tools displaying, analyzing, smoothing and comparing ROC curves in a user-friendly, object-oriented and flexible interface. RESULTS: With data previously imported into the R or S+ environment, the pROC package builds ROC curves and includes functions for computing confidence intervals, statistical tests for comparing total or partial area under the curve or the operating points of different classifiers, and methods for smoothing ROC curves. Intermediary and final results are visualised in user-friendly interfaces. A case study based on published clinical and biomarker data shows how to perform a typical ROC analysis with pROC. CONCLUSIONS: pROC is a package for R and S+ specifically dedicated to ROC analysis. It proposes multiple statistical tests to compare ROC curves, and in particular partial areas under the curve, allo"
SRC-0019,pcna_biology,Management of Hepatocellular Carcinoma *,Jordi Bruix; Morris Sherman,2005,Hepatology,10.1002/hep.20933,https://doi.org/10.1002/hep.20933,article,5878,169.80641,proliferating cell nuclear antigen cancer therapy review,scholarly source returned for targeted project query,https://openalex.org/W2163486683,"CLT, Cadaveric liver transplantation; LDLT, live donor liver transplantation; PEI, Percutanoeus ethanol injection; RF, radiofrequency; TACE, Transarterial chemoembolization; PS, Performance Status. These recommendations provide a data-supported approach to the diagnosis, staging and treatment of patients diagnosed with hepatocellular carcinoma (HCC). They are based on the following: (a) formal review and analysis of the recently-published world literature on the topic (Medline search through early 2005); (b) American College of Physicians Manual for Assessing Health Practices and Designing Practice Guidelines.1 (c) guideline policies, including the AASLD Policy on the Development and Use of Practice Guidelines and the AGA Policy Statement on Guidelines2; (d) the experience of the authors in the specified topic. We have also reviewed the guidelines prepared at the time of the Monothematic Conference of the European Association for the Study of the Liver (EASL)3 and the practice of authors experienced in the field. Intended for use by physicians, these recommendations suggest preferred approaches to the diagnostic, therapeutic, and preventive aspects of care. They are intended to be "
SRC-0020,ogb_benchmarking,QUANTUM ESPRESSO: a modular and open-source software project for quantum simulations of materials,Paolo Giannozzi; Stefano Baroni; Nicola Bonini; Matteo Calandra; Roberto Car; Carlo Cavazzoni; Davide Ceresoli; G. Chiarotti,2009,Journal of Physics Condensed Matter,10.1088/0953-8984/21/39/395502,https://doi.org/10.1088/0953-8984/21/39/395502,article,28664,164.00092,Open Graph Benchmark realistic evaluation graph machine learning,scholarly source returned for targeted project query,https://openalex.org/W2120145199,"QUANTUM ESPRESSO is an integrated suite of computer codes for electronic-structure calculations and materials modeling, based on density-functional theory, plane waves, and pseudopotentials (norm-conserving, ultrasoft, and projector-augmented wave). The acronym ESPRESSO stands for opEn Source Package for Research in Electronic Structure, Simulation, and Optimization. It is freely available to researchers around the world under the terms of the GNU General Public License. QUANTUM ESPRESSO builds upon newly-restructured electronic-structure codes that have been developed and tested by some of the original authors of novel electronic-structure algorithms and applied in the last twenty years by some of the leading materials modeling groups worldwide. Innovation and efficiency are still its main focus, with special attention paid to massively parallel architectures, and a great effort being devoted to user friendliness. QUANTUM ESPRESSO is evolving towards a distribution of independent and interoperable codes in the spirit of an open-source project, where researchers active in the field of electronic-structure calculations are encouraged to participate in the project by contributing the"
SRC-0021,experimental_limitations; fpocket; residue_level_gnns,"The Phyre2 web portal for protein modeling, prediction and analysis",Lawrence A. Kelley; Stefans Mezulis; Christopher M. Yates; Mark N. Wass; Michael J.E. Sternberg,2015,Nature Protocols,10.1038/nprot.2015.053,https://doi.org/10.1038/nprot.2015.053,article,10214,161.82619,fpocket protein pocket detection | limitations computational binding site prediction experimental validation | protein graph neural network residue classification | residue level graph neural network protein binding site prediction,scholarly source returned for targeted project query,https://openalex.org/W1803102843,
SRC-0022,experimental_limitations,Standards and guidelines for the interpretation of sequence variants: a joint consensus recommendation of the American College of Medical Genetics and Genomics and the Association for Molecular Pathology,Sue Richards; Nazneen Aziz; Sherri J. Bale; David Bick; Soma Das; Julie M. Gastier‐Foster; Wayne W. Grody; Madhuri Hegde,2015,Genetics in Medicine,10.1038/gim.2015.30,https://doi.org/10.1038/gim.2015.30,article,31826,151.14987,limitations computational binding site prediction experimental validation,scholarly source returned for targeted project query,https://openalex.org/W2051978340,
SRC-0023,pcna_targeting,Obesity is associated with macrophage accumulation in adipose tissue,Stuart P. Weisberg; Daniel McCann; Manisha Desai; Michael Rosenbaum; Rudolph L. Leibel; Anthony W. Ferrante,2003,Journal of Clinical Investigation,10.1172/jci200319246,https://doi.org/10.1172/jci200319246,article,8262,149.05202,targeting proliferating cell nuclear antigen cancer small molecule inhibitor,scholarly source returned for targeted project query,https://openalex.org/W4249727000,"Obesity alters adipose tissue metabolic and endocrine function and leads to an increased release of fatty acids, hormones, and proinflammatory molecules that contribute to obesity associated complications. To further characterize the changes that occur in adipose tissue with increasing adiposity, we profiled transcript expression in perigonadal adipose tissue from groups of mice in which adiposity varied due to sex, diet, and the obesity-related mutations agouti (A y ) and obese (Lep ob ). We found that the expression of 1,304 transcripts correlated significantly with body mass. Of the 100 most significantly correlated genes, 30% encoded proteins that are characteristic of macrophages and are positively correlated with body mass. Immunohistochemical analysis of perigonadal, perirenal, mesenteric, and subcutaneous adipose tissue revealed that the percentage of cells expressing the macrophage marker F4/80 (F4/80 + ) was significantly and positively correlated with both adipocyte size and body mass. Similar relationships were found in human subcutaneous adipose tissue stained for the macrophage antigen CD68. Bone marrow transplant studies and quantitation of macrophage number in adipo"
SRC-0024,topk_metrics,Initial sequencing and analysis of the human genome,Eric S. Lander; Lauren Linton; Bruce W. Birren; Chad Nusbaum; Michael C. Zody; Jennifer Baldwin; Keri Devon; Ken Dewar,2001,Nature,10.1038/35057062,https://doi.org/10.1038/35057062,article,24540,148.99722,top-k evaluation protein binding site prediction residue recovery,scholarly source returned for targeted project query,https://openalex.org/W2168909179,"The human genome holds an extraordinary trove of information about human development, physiology, medicine and evolution. Here we report the results of an international collaboration to produce and make freely available a draft sequence of the human genome. We also present an initial analysis of the data, describing some of the insights that can be gleaned from the sequence."
SRC-0025,ligand_stability_md,Improved side‐chain torsion potentials for the Amber ff99SB protein force field,Kresten Lindorff‐Larsen; Stefano Piana; Kim Palmö; Paul Maragakis; John L. Klepeis; Ron O. Dror; David E. Shaw,2010,Proteins Structure Function and Bioinformatics,10.1002/prot.22711,https://doi.org/10.1002/prot.22711,article,6244,143.6409,molecular dynamics ligand stability protein ligand RMSD interactions,scholarly source returned for targeted project query,https://openalex.org/W2161605421,"Recent advances in hardware and software have enabled increasingly long molecular dynamics (MD) simulations of biomolecules, exposing certain limitations in the accuracy of the force fields used for such simulations and spurring efforts to refine these force fields. Recent modifications to the Amber and CHARMM protein force fields, for example, have improved the backbone torsion potentials, remedying deficiencies in earlier versions. Here, we further advance simulation accuracy by improving the amino acid side-chain torsion potentials of the Amber ff99SB force field. First, we used simulations of model alpha-helical systems to identify the four residue types whose rotamer distribution differed the most from expectations based on Protein Data Bank statistics. Second, we optimized the side-chain torsion potentials of these residues to match new, high-level quantum-mechanical calculations. Finally, we used microsecond-timescale MD simulations in explicit solvent to validate the resulting force field against a large set of experimental NMR measurements that directly probe side-chain conformations. The new force field, which we have termed Amber ff99SB-ILDN, exhibits considerably better"
SRC-0026,benchmark_datasets; structural_split,"SwissADME: a free web tool to evaluate pharmacokinetics, drug-likeness and medicinal chemistry friendliness of small molecules",Antoine Daina; Olivier Michielin; Vincent Zoete,2017,Scientific Reports,10.1038/srep42717,https://doi.org/10.1038/srep42717,article,16779,139.53606,protein machine learning benchmark dataset structure function | protein structure similarity split benchmark machine learning,scholarly source returned for targeted project query,https://openalex.org/W2593436234,"To be effective as a drug, a potent molecule must reach its target in the body in sufficient concentration, and stay there in a bioactive form long enough for the expected biologic events to occur. Drug development involves assessment of absorption, distribution, metabolism and excretion (ADME) increasingly earlier in the discovery process, at a stage when considered compounds are numerous but access to the physical samples is limited. In that context, computer models constitute valid alternatives to experiments. Here, we present the new SwissADME web tool that gives free access to a pool of fast yet robust predictive models for physicochemical properties, pharmacokinetics, drug-likeness and medicinal chemistry friendliness, among which in-house proficient methods such as the BOILED-Egg, iLOGP and Bioavailability Radar. Easy efficient input and interpretation are ensured thanks to a user-friendly interface through the login-free website http://www.swissadme.ch. Specialists, but also nonexpert in cheminformatics or computational chemistry can predict rapidly key parameters for a collection of molecules to support their drug discovery endeavours."
SRC-0027,benchmark_datasets; binding_site_prediction; experimental_limitations; geometric_deep_learning; graph_attention_biology; leakage_homology; structural_split,SWISS-MODEL: homology modelling of protein structures and complexes,Andrew Waterhouse; Martino Bertoni; Stefan Bienert; Gabriel Studer; Gerardo Tauriello; Rafal Gumienny; Florian Heer; Tjaart de Beer,2018,Nucleic Acids Research,10.1093/nar/gky427,https://doi.org/10.1093/nar/gky427,article,13434,135.70161,graph attention networks biology protein | ligand binding site prediction protein structure survey | limitations computational binding site prediction experimental validation | protein machine learning benchmark dataset structure function | protein structure similarity split benchmark machine learning | sequence identity split protein machine learning benchmark | structure based protein representation geometric deep learning,scholarly source returned for targeted project query,https://openalex.org/W2804822363,"Homology modelling has matured into an important technique in structural biology, significantly contributing to narrowing the gap between known protein sequences and experimentally determined structures. Fully automated workflows and servers simplify and streamline the homology modelling process, also allowing users without a specific computational expertise to generate reliable protein models and have easy access to modelling results, their visualization and interpretation. Here, we present an update to the SWISS-MODEL server, which pioneered the field of automated modelling 25 years ago and been continuously further developed. Recently, its functionality has been extended to the modelling of homo- and heteromeric complexes. Starting from the amino acid sequences of the interacting proteins, both the stoichiometry and the overall structure of the complex are inferred by homology modelling. Other major improvements include the implementation of a new modelling engine, ProMod3 and the introduction a new local model quality estimation method, QMEANDisCo. SWISS-MODEL is freely available at https://swissmodel.expasy.org."
SRC-0028,benchmark_datasets,Accurate structure prediction of biomolecular interactions with AlphaFold 3,Josh Abramson; Jonas Adler; Jack Dunger; Richard Evans; Tim Green; Alexander Pritzel; Olaf Ronneberger; Lindsay Willmore,2024,Nature,10.1038/s41586-024-07487-w,https://doi.org/10.1038/s41586-024-07487-w,article,13003,131.56667,protein machine learning benchmark dataset structure function,scholarly source returned for targeted project query,https://openalex.org/W4396721167,"Abstract The introduction of AlphaFold 2 1 has spurred a revolution in modelling the structure of proteins and their interactions, enabling a huge range of applications in protein modelling and design 2–6 . Here we describe our AlphaFold 3 model with a substantially updated diffusion-based architecture that is capable of predicting the joint structure of complexes including proteins, nucleic acids, small molecules, ions and modified residues. The new AlphaFold model demonstrates substantially improved accuracy over many previous specialized tools: far greater accuracy for protein–ligand interactions compared with state-of-the-art docking tools, much higher accuracy for protein–nucleic acid interactions compared with nucleic-acid-specific predictors and substantially higher antibody–antigen prediction accuracy compared with AlphaFold-Multimer v.2.3 7,8 . Together, these results show that high-accuracy modelling across biomolecular space is possible within a single unified deep-learning framework."
SRC-0029,ogb_benchmarking,A survey on Image Data Augmentation for Deep Learning,Connor Shorten; Taghi M. Khoshgoftaar,2019,Journal Of Big Data,10.1186/s40537-019-0197-0,https://doi.org/10.1186/s40537-019-0197-0,article,12220,130.36574,Open Graph Benchmark realistic evaluation graph machine learning,scholarly source returned for targeted project query,https://openalex.org/W2954996726,"Deep convolutional neural networks have performed remarkably well on many Computer Vision tasks. However, these networks are heavily reliant on big data to avoid overfitting. Overfitting refers to the phenomenon when a network learns a function with very high variance such as to perfectly model the training data. Unfortunately, many application domains do not have access to big data, such as medical image analysis. This survey focuses on Data Augmentation, a data-space solution to the problem of limited data. Data Augmentation encompasses a suite of techniques that enhance the size and quality of training datasets such that better Deep Learning models can be built using them. The image augmentation algorithms discussed in this survey include geometric transformations, color space augmentations, kernel filters, mixing images, random erasing, feature space augmentation, adversarial training, generative adversarial networks, neural style transfer, and meta-learning. The application of augmentation methods based on GANs are heavily covered in this survey. In addition to augmentation techniques, this paper will briefly discuss other characteristics of Data Augmentation such as test-time"
SRC-0030,pcna_targeting,CDK inhibitors: positive and negative regulators of G1-phase progression,Charles J. Sherr; Joanna Roberts,1999,Genes & Development,10.1101/gad.13.12.1501,https://doi.org/10.1101/gad.13.12.1501,review,6094,131.80565,targeting proliferating cell nuclear antigen cancer small molecule inhibitor,scholarly source returned for targeted project query,https://openalex.org/W2121619780,"Mitogen-dependent progression through the first gap phase (G1) and initiation of DNA synthesis (S phase) during the mammalian cell division cycle are cooperatively regulated by several classes of cyclin-dependent kinases (CDKs) whose activities are in turn constrained by CDK inhibitors (CKIs). CKIs that govern these events have been assigned to one of two families based on their structures and CDK targets. The first class includes the INK4 proteins (inhibitors of CDK4), so named for their ability to specifically inhibit the catalytic subunits of CDK4 and CDK6. Four such proteins [p16 (Serrano et al. 1993), p15 (Hannon and Beach 1994), p18 (Guan et al. 1994; Hirai et al. 1995), and p19 (Chan et al. 1995; Hirai et al. 1995)] are composed of multiple ankyrin repeats and bind only to CDK4 and CDK6 but not to other CDKs or to D-type cyclins. The INK4 proteins can be contrasted with more broadly acting inhibitors of the Cip/Kip family whose actions affect the activities of cyclin D-, E-, and A-dependent kinases. The latter class includes p21 (Gu et al. 1993; Harper et al. 1993; El-Deiry et al. 1993; Xiong et al. 1993a; Dulic et al. 1994; Noda et al. 1994), p27 (Polyak et al. 1994a,b; Toy"
SRC-0031,bootstrap_ci,Extremely randomized trees,Pierre Geurts; Damien Ernst; Louis Wehenkel,2006,Machine Learning,10.1007/s10994-006-6226-1,https://doi.org/10.1007/s10994-006-6226-1,article,8533,129.52608,bootstrap confidence intervals machine learning evaluation bioinformatics,scholarly source returned for targeted project query,https://openalex.org/W2056132907,
SRC-0032,pcna_targeting,Molecular mechanisms of cell death: recommendations of the Nomenclature Committee on Cell Death 2018,Lorenzo Galluzzi; Ilio Vitale; Stuart A. Aaronson; John Abrams; Dieter Adam; Patrizia Agostinis; Emad S. Alnemri; Lucia Altucci,2018,Cell Death and Differentiation,10.1038/s41418-017-0012-4,https://doi.org/10.1038/s41418-017-0012-4,review,6432,123.73014,targeting proliferating cell nuclear antigen cancer small molecule inhibitor,scholarly source returned for targeted project query,https://openalex.org/W2788640168,
SRC-0033,pcna_biology,The 2016 revision to the World Health Organization classification of myeloid neoplasms and acute leukemia,Daniel A. Arber; Attilio Orazi; Robert P. Hasserjian; Jürgen Thiele; Michael J. Borowitz; Michelle M. Le Beau; Clara D. Bloomfield; Mario Cazzola,2016,Blood,10.1182/blood-2016-03-643544,https://doi.org/10.1182/blood-2016-03-643544,review,10164,118.60768,proliferating cell nuclear antigen cancer therapy review,scholarly source returned for targeted project query,https://openalex.org/W2339658711,"The World Health Organization (WHO) classification of tumors of the hematopoietic and lymphoid tissues was last updated in 2008. Since then, there have been numerous advances in the identification of unique biomarkers associated with some myeloid neoplasms and acute leukemias, largely derived from gene expression analysis and next-generation sequencing that can significantly improve the diagnostic criteria as well as the prognostic relevance of entities currently included in the WHO classification and that also suggest new entities that should be added. Therefore, there is a clear need for a revision to the current classification. The revisions to the categories of myeloid neoplasms and acute leukemia will be published in a monograph in 2016 and reflect a consensus of opinion of hematopathologists, hematologists, oncologists, and geneticists. The 2016 edition represents a revision of the prior classification rather than an entirely new classification and attempts to incorporate new clinical, prognostic, morphologic, immunophenotypic, and genetic data that have emerged since the last edition. The major changes in the classification and their rationale are presented here."
SRC-0034,docking; experimental_limitations; ligand_stability_md; protein_graph_construction; protein_language_models; residue_level_gnns,CHARMM: The biomolecular simulation program,Bernard R. Brooks; Charles L. Brooks; Alexander D. MacKerell; Lennart Nilsson; Robert J. Petrella; Benoı̂t Roux; Youngdo Won; Georgios Archontis,2009,Journal of Computational Chemistry,10.1002/jcc.21287,https://doi.org/10.1002/jcc.21287,review,9077,119.509544,limitations computational binding site prediction experimental validation | molecular docking binding site validation limitations review | molecular dynamics ligand stability protein ligand RMSD interactions | protein graph construction graph neural networks residue contact edges | protein language models review embeddings structural biology | protein structure graph neural network contact map features | residue level graph neural network protein binding site prediction,scholarly source returned for targeted project query,https://openalex.org/W2132262459,"CHARMM (Chemistry at HARvard Molecular Mechanics) is a highly versatile and widely used molecular simulation program. It has been developed over the last three decades with a primary focus on molecules of biological interest, including proteins, peptides, lipids, nucleic acids, carbohydrates, and small molecule ligands, as they occur in solution, crystals, and membrane environments. For the study of such systems, the program provides a large suite of computational tools that include numerous conformational and path sampling methods, free energy estimators, molecular minimization, dynamics, and analysis techniques, and model-building capabilities. The CHARMM program is applicable to problems involving a much broader class of many-particle systems. Calculations with CHARMM can be performed using a number of different energy functions and models, from mixed quantum mechanical-molecular mechanical force fields, to all-atom classical potential energy functions with explicit solvent and various boundary conditions, to implicit solvent and membrane models. The program has been ported to numerous platforms in both serial and parallel architectures. This article provides an overview of the "
SRC-0035,fpocket,COSMIC: the Catalogue Of Somatic Mutations In Cancer,John Tate; Sally Bamford; Harry Jubb; Zbysław Sońdka; David Beare; Nidhi Bindal; Harry Boutselakis; Charlotte G. Cole,2018,Nucleic Acids Research,10.1093/nar/gky1015,https://doi.org/10.1093/nar/gky1015,article,5218,114.07174,fpocket protein pocket detection,scholarly source returned for targeted project query,https://openalex.org/W2898789672,"COSMIC, the Catalogue Of Somatic Mutations In Cancer (https://cancer.sanger.ac.uk) is the most detailed and comprehensive resource for exploring the effect of somatic mutations in human cancer. The latest release, COSMIC v86 (August 2018), includes almost 6 million coding mutations across 1.4 million tumour samples, curated from over 26 000 publications. In addition to coding mutations, COSMIC covers all the genetic mechanisms by which somatic mutations promote cancer, including non-coding mutations, gene fusions, copy-number variants and drug-resistance mutations. COSMIC is primarily hand-curated, ensuring quality, accuracy and descriptive data capture. Building on our manual curation processes, we are introducing new initiatives that allow us to prioritize key genes and diseases, and to react more quickly and comprehensively to new findings in the literature. Alongside improvements to the public website and data-download systems, new functionality in COSMIC-3D allows exploration of mutations within three-dimensional protein structures, their protein structural and functional impacts, and implications for druggability. In parallel with COSMIC's deep and broad variant coverage, the"
SRC-0036,ogb_benchmarking,Modeling Relational Data with Graph Convolutional Networks,Michael Schlichtkrull; Thomas Kipf; Peter Bloem; Rianne van den Berg; Ivan Titov; Max Welling,2018,Lecture notes in computer science,10.1007/978-3-319-93417-4_38,https://doi.org/10.1007/978-3-319-93417-4_38,book-chapter,5008,113.28263,Open Graph Benchmark realistic evaluation graph machine learning,scholarly source returned for targeted project query,https://openalex.org/W2604314403,
SRC-0037,calibration; ogb_benchmarking,Physics-informed machine learning,George Em Karniadakis; Ioannis G. Kevrekidis; Lu Lu; Paris Perdikaris; Sifan Wang; Liu Yang,2021,Nature Reviews Physics,10.1038/s42254-021-00314-5,https://doi.org/10.1038/s42254-021-00314-5,review,6294,109.70529,Open Graph Benchmark realistic evaluation graph machine learning | model calibration metrics expected calibration error biomedical machine learning,scholarly source returned for targeted project query,https://openalex.org/W3163993681,
SRC-0038,calibration; ogb_benchmarking,The Multimodal Brain Tumor Image Segmentation Benchmark (BRATS),Bjoern Menze; András Jakab; Stefan Bauer; Jayashree Kalpathy–Cramer; Keyvan Farahani; Justin Kirby; Yuliya Burren; Nicole Porz,2014,IEEE Transactions on Medical Imaging,10.1109/tmi.2014.2377694,https://doi.org/10.1109/tmi.2014.2377694,review,6447,106.70052,Open Graph Benchmark realistic evaluation graph machine learning | model calibration metrics expected calibration error biomedical machine learning,scholarly source returned for targeted project query,https://openalex.org/W1641498739,"In this paper we report the set-up and results of the Multimodal Brain Tumor Image Segmentation Benchmark (BRATS) organized in conjunction with the MICCAI 2012 and 2013 conferences. Twenty state-of-the-art tumor segmentation algorithms were applied to a set of 65 multi-contrast MR scans of low- and high-grade glioma patients-manually annotated by up to four raters-and to 65 comparable scans generated using tumor image simulation software. Quantitative evaluations revealed considerable disagreement between the human raters in segmenting various tumor sub-regions (Dice scores in the range 74%-85%), illustrating the difficulty of this task. We found that different algorithms worked best for different sub-regions (reaching performance comparable to human inter-rater variability), but that no single algorithm ranked in the top for all sub-regions simultaneously. Fusing several good algorithms using a hierarchical majority vote yielded segmentations that consistently ranked above all individual algorithms, indicating remaining opportunities for further methodological improvements. The BRATS image data and manual annotations continue to be publicly available through an online evaluation s"
SRC-0039,docking,"<scp>UCSF ChimeraX</scp>: Structure visualization for researchers, educators, and developers",Eric F. Pettersen; Thomas D. Goddard; Conrad C. Huang; Elaine C. Meng; Gregory S. Couch; Tristan I. Croll; John H. Morris; Thomas E. Ferrin,2020,Protein Science,10.1002/pro.3943,https://doi.org/10.1002/pro.3943,article,9933,104.99124,molecular docking binding site validation limitations review,scholarly source returned for targeted project query,https://openalex.org/W3083406432,"UCSF ChimeraX is the next-generation interactive visualization program from the Resource for Biocomputing, Visualization, and Informatics (RBVI), following UCSF Chimera. ChimeraX brings (a) significant performance and graphics enhancements; (b) new implementations of Chimera's most highly used tools, many with further improvements; (c) several entirely new analysis features; (d) support for new areas such as virtual reality, light-sheet microscopy, and medical imaging data; (e) major ease-of-use advances, including toolbars with icons to perform actions with a single click, basic ""undo"" capabilities, and more logical and consistent commands; and (f) an app store for researchers to contribute new tools. ChimeraX includes full user documentation and is free for noncommercial use, with downloads available for Windows, Linux, and macOS from https://www.rbvi.ucsf.edu/chimerax."
SRC-0040,provenance,3D Slicer as an image computing platform for the Quantitative Imaging Network,Andriy Fedorov; Reinhard Beichel; Jayashree Kalpathy–Cramer; Julien Finet; Jean‐Christophe Fillion‐Robin; Sonia Pujol; Christian Bauer; Dominique Jennings,2012,Magnetic Resonance Imaging,10.1016/j.mri.2012.05.001,https://doi.org/10.1016/j.mri.2012.05.001,article,8738,105.05841,provenance tracking computational biology workflows reproducibility,scholarly source returned for targeted project query,https://openalex.org/W2026616100,
